,Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
53826,2014-08-23 23:32:00,ASSAULT,THREAT OR FORCE TO RESIST EXECUTIVE OFFICER,Saturday,BAYVIEW,"ARREST, BOOKED",1600 Block of LASALLE AV,-122.390244392372,37.737317401142796
515047,2008-02-08 18:24:00,DRUG/NARCOTIC,POSSESSION OF METHADONE,Friday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.412224164736,37.7820729312029
405290,2009-09-03 03:30:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,BAYVIEW,NONE,900 Block of CONNECTICUT ST,-122.39720193799299,37.75353512427621
606985,2006-10-04 11:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,TARAVAL,NONE,0 Block of GONZALEZ DR,-122.47572302336201,37.71986712456261
857368,2003-04-14 12:00:00,BAD CHECKS,"CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)",Monday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.407845374111,37.7850943210103
633554,2006-05-19 08:07:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,NORTHERN,NONE,1500 Block of EDDY ST,-122.43315586900299,37.78126734681
487313,2008-07-07 10:13:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,MISSION,NONE,600 Block of VALENCIA ST,-122.421644195835,37.7631124568674
298485,2011-04-08 12:30:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Friday,MISSION,NONE,3400 Block of 26TH ST,-122.41842788258002,37.7490786029711
615307,2006-08-22 17:40:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,MISSION,NONE,SAN JOSE AV / 22ND ST,-122.421436032976,37.755267047199
768499,2004-06-21 12:27:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN,NONE,MCALLISTER ST / HYDE ST,-122.415317966999,37.7807179285769
512262,2008-02-23 01:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,TARAVAL,"ARREST, CITED",SANTIAGO ST / 19TH AV,-122.475773497852,37.744919069591
163034,2013-03-19 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE,HOFF ST / 17TH ST,-122.42043472455299,37.7633758058059
297599,2011-04-10 16:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,INGLESIDE,NONE,500 Block of CARTER ST,-122.423628041297,37.70880618460679
827083,2003-09-05 19:45:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,INGLESIDE,NONE,200 Block of MOLIMO DR,-122.450475127734,37.736656500246
642772,2006-04-03 21:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,OLIVE ST / VANNESS AV,-122.421096796936,37.7842937802977
289416,2011-05-31 12:00:00,MISSING PERSON,FOUND PERSON,Tuesday,BAYVIEW,NONE,100 Block of KISKA RD,-122.376054792432,37.7300559760912
38567,2014-11-10 02:00:00,MISSING PERSON,FOUND PERSON,Monday,MISSION,NONE,3500 Block of 18TH ST,-122.42337271414499,37.7615366331071
276422,2011-08-10 21:15:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,MISSION,NONE,2900 Block of 24TH ST,-122.41143646190399,37.752711512136
600278,2006-11-04 22:30:00,NON-CRIMINAL,LOST PROPERTY,Saturday,CENTRAL,NONE,300 Block of STOCKTON ST,-122.406844190027,37.789226079954794
338898,2010-09-06 19:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,0 Block of CHUMASERO DR,-122.472972400524,37.71323913143979
773256,2004-05-26 19:56:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,INGLESIDE,"ARREST, CITED",MISSION ST / CORTLAND AV,-122.422842376059,37.7410287442437
336052,2010-09-21 01:45:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,TARAVAL,NONE,2900 Block of SAN JOSE AV,-122.45578385387199,37.71139544473
282359,2011-07-03 10:00:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,INGLESIDE,NONE,JARBOE AV / ELLSWORTH ST,-122.414614192203,37.7383828365661
626043,2006-06-28 12:20:00,TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,"ARREST, CITED",200 Block of MCALLISTER ST,-122.416577792446,37.780614876154
512613,2008-02-22 09:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,RICHMOND,NONE,GEARY BL / 20TH AV,-122.47938403981001,37.7803326972451
732534,2004-12-21 17:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,MISSION,NONE,100 Block of SHOTWELL ST,-122.416397509503,37.766049241592704
515118,2008-02-08 15:30:00,LOITERING,BEGGING,Friday,SOUTHERN,"ARREST, CITED",BRYANT ST / 5TH ST,-122.400302421513,37.777799229041904
287890,2011-06-04 09:55:00,WARRANTS,WARRANT ARREST,Saturday,RICHMOND,NONE,2300 Block of BUSH ST,-122.435952893201,37.78675801255321
666722,2005-11-29 15:50:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Tuesday,TARAVAL,NONE,1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
749227,2004-09-19 01:58:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,JUVENILE ADMONISHED,1300 Block of POTRERO AV,-122.406068106289,37.7505684946516
776081,2004-05-13 09:33:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,SOUTHERN,"ARREST, BOOKED",0 Block of 6TH ST,-122.40891322980801,37.781211650766295
528182,2007-11-28 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,1400 Block of 14TH AV,-122.471402768725,37.76099286145021
63923,2014-07-10 13:00:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425
24819,2015-01-11 16:11:00,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,INGLESIDE,"ARREST, BOOKED",0 Block of EDINBURGH ST,-122.426811682595,37.72799786551021
738524,2004-11-13 20:15:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,MISSION,"ARREST, CITED",VALENCIA ST / 18TH ST,-122.421581681378,37.761700717956295
109899,2013-11-17 07:09:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,SOUTHERN,"ARREST, BOOKED",JESSIE ST / 9TH ST,-122.415322108652,37.7767183581051
341848,2010-08-23 06:31:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,SOUTHERN,"ARREST, BOOKED",6TH ST / JESSIE ST,-122.40924767554701,37.7813987340892
746147,2004-10-11 11:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,TARAVAL,NONE,2600 Block of 31ST AV,-122.488279119344,37.7381890249228
756887,2004-08-17 07:55:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,MISSION,"ARREST, BOOKED",1300 Block of MINNA ST,-122.419215851168,37.767499719103895
76236,2014-05-12 19:35:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE,500 Block of BUSH ST,-122.406742211994,37.7904732830605
446925,2009-01-24 23:49:00,OTHER OFFENSES,OPERATING TAXI WITHOUT A PERMIT,Saturday,MISSION,"ARREST, CITED",MISSION ST / 23RD ST,-122.41859672745899,37.753838204850105
768224,2004-06-22 07:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,TARAVAL,UNFOUNDED,11TH AV / LAWTON ST,-122.46805862570801,37.758348936558
280502,2011-07-15 23:39:00,OTHER OFFENSES,RESISTING ARREST,Friday,MISSION,"ARREST, CITED",1200 Block of TREAT AV,-122.412692441179,37.7501577446795
166438,2013-03-04 09:52:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.40787711735202,37.7803875013555
121561,2013-10-01 08:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Tuesday,PARK,NONE,1800 Block of GROVE ST,-122.447107026839,37.7748215107321
509940,2008-03-06 21:17:00,TRESPASS,TRESPASSING,Thursday,MISSION,"ARREST, BOOKED",2500 Block of MISSION ST,-122.418891810986,37.7562166627216
191310,2012-10-30 09:05:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,1000 Block of MARKET ST,-122.41133956255699,37.7812707434494
548850,2007-08-12 09:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,MARKET ST / MAIN ST,-122.396305356237,37.7932572003309
7674,2015-04-03 21:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE,7TH ST / HARRISON ST,-122.406300138733,37.7755131129937
521536,2008-01-08 08:25:00,ASSAULT,BATTERY,Tuesday,MISSION,JUVENILE CITED,3700 Block of 18TH ST,-122.427242380192,37.7614118083919
245117,2012-01-26 14:00:00,VEHICLE THEFT,STOLEN TRUCK,Thursday,INGLESIDE,NONE,300 Block of SENECA AV,-122.44514733830201,37.7214113471419
408763,2009-08-19 02:16:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION,"ARREST, BOOKED",MISSION ST / SYCAMORE ST,-122.41944531067,37.7627134327476
265628,2011-10-07 11:35:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,MISSION,NONE,2300 Block of FOLSOM ST,-122.41469551481,37.7596861764245
231284,2012-04-06 17:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,NORTHERN,NONE,1300 Block of SUTTER ST,-122.42258569695801,37.7873874125739
4885,2015-04-17 18:00:00,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,CENTRAL,NONE,600 Block of GEARY ST,-122.414010814727,37.7866770011071
728594,2005-01-14 23:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE,MONTGOMERY ST / PACIFIC AV,-122.40367811242099,37.797297202925
440389,2009-03-04 13:01:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.409853729941,37.7833862379382
582956,2007-02-10 00:35:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.411742515582,37.7858882195106
583824,2007-02-07 19:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,MISSION,NONE,0 Block of WOODWARD ST,-122.420787082234,37.7690595236078
708122,2005-05-03 19:10:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Tuesday,SOUTHERN,"ARREST, CITED",900 Block of MARKET ST,-122.40970842372101,37.78282764988379
29057,2014-12-24 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,TAYLOR ST / MARKET ST,-122.41029351969,37.7822305870036
492551,2008-06-01 21:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,300 Block of BRANNAN ST,-122.393792694385,37.780568189983
815880,2003-10-30 10:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,ARGUELLO BL / FULTON ST,-122.45837285358101,37.7743079494007
223134,2012-05-18 22:55:00,NON-CRIMINAL,LOST PROPERTY,Friday,MISSION,UNFOUNDED,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668
606325,2006-10-06 06:30:00,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Friday,MISSION,"ARREST, CITED",SAN BRUNO AV / ALAMEDA ST,-122.405828840501,37.7684749112706
409341,2009-08-17 19:00:00,ASSAULT,BATTERY,Monday,MISSION,NONE,3800 Block of 23RD ST,-122.429550669718,37.7532289687978
98011,2014-01-23 19:23:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,INGLESIDE,NONE,200 Block of MOSCOW ST,-122.42583664292101,37.723560959315904
652988,2006-02-08 16:01:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,MISSION,"ARREST, BOOKED",2800 Block of 16TH ST,-122.415873491231,37.7653356122581
821590,2003-10-02 13:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE,300 Block of 11TH ST,-122.413189430011,37.77127369135761
293190,2011-05-06 21:20:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Friday,MISSION,"ARREST, BOOKED",500 Block of CASTRO ST,-122.43499478308901,37.76006971065671
821178,2003-10-03 12:30:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
410673,2009-08-07 12:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
511174,2008-03-03 22:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,NORTHERN,"ARREST, BOOKED",600 Block of VANNESS AV,-122.420691386664,37.7814832523537
117118,2013-10-17 20:00:00,MISSING PERSON,FOUND PERSON,Thursday,BAYVIEW,LOCATED,0 Block of DAKOTA ST,-122.395635436168,37.7535645746594
277902,2011-07-30 13:55:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
407283,2009-08-22 16:00:00,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,BAYVIEW,"ARREST, BOOKED",100 Block of VENUS ST,-122.397847684487,37.73072290720261
434889,2009-03-31 17:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
416855,2009-07-07 15:00:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,MARKET ST / NEWMONTGOMERY ST,-122.402070243227,37.788719868813295
248969,2012-01-09 16:00:00,VEHICLE THEFT,STOLEN TRUCK,Monday,INGLESIDE,NONE,1000 Block of CORTLAND AV,-122.412924979088,37.7390837729125
443925,2009-02-16 13:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,RICHMOND,NONE,3600 Block of FULTON ST,-122.470715552676,37.7732401331227
840058,2003-07-07 18:25:00,ASSAULT,INFLICT INJURY ON COHABITEE,Monday,BAYVIEW,"ARREST, BOOKED",4800 Block of 3RD ST,-122.390965298144,37.7344291807899
387185,2009-12-07 15:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,LINCOLN WY / 9TH AV,-122.46644268420602,37.7659245297691
34117,2014-11-27 22:14:00,OTHER OFFENSES,RESISTING ARREST,Thursday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.406412115335,37.780252457697394
538278,2007-10-06 08:25:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Saturday,INGLESIDE,"ARREST, BOOKED",4900 Block of MISSION ST,-122.438695075365,37.7196920262929
656907,2006-01-15 08:00:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,SOUTHERN,"ARREST, CITED",STOCKTON ST / MARKET ST,-122.405832474482,37.7857446545609
31697,2014-12-11 08:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,INGLESIDE,NONE,100 Block of MORSE ST,-122.43926482717801,37.7130932334895
221450,2012-05-30 11:42:00,OTHER OFFENSES,BEYOND PARENTAL CONTROL,Wednesday,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
486305,2008-07-09 17:55:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,FOLSOM ST / 3RD ST,-122.39893271109501,37.7837848211584
276514,2011-08-10 17:00:00,ASSAULT,BATTERY,Wednesday,TENDERLOIN,COMPLAINANT REFUSES TO PROSECUTE,400 Block of EDDY ST,-122.415088721046,37.7836719564372
164148,2013-03-09 18:45:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Saturday,RICHMOND,"ARREST, BOOKED",300 Block of 29TH AV,-122.489291197507,37.7827358351213
89049,2014-03-07 12:12:00,DRUG/NARCOTIC,POSSESSION OF METHADONE FOR SALES,Friday,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
549884,2007-08-09 18:56:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,BAYVIEW,"ARREST, BOOKED",1600 Block of SHAFTER AV,-122.39123221352,37.7313908777775
652804,2006-02-09 01:01:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,SOUTHERN,NONE,8TH ST / NATOMA ST,-122.412160931881,37.7766597984985
344524,2010-08-01 22:00:00,LARCENY/THEFT,GRAND THEFT PURSESNATCH,Sunday,NORTHERN,NONE,2200 Block of CHESTNUT ST,-122.439895933785,37.8002979847002
774340,2004-05-24 12:00:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Monday,SOUTHERN,"ARREST, BOOKED",300 Block of 4TH ST,-122.399833846531,37.781043217933394
668891,2005-11-16 19:30:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,CENTRAL,NONE,FRONT ST / BROADWAY ST,-122.39987572357401,37.798729225032396
22999,2015-01-22 22:45:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,1100 Block of CALIFORNIA ST,-122.41328887250799,37.7914655329997
611528,2006-09-08 17:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,CENTRAL,NONE,0 Block of CAMPTON PL,-122.40609629777201,37.7890234704903
155553,2013-04-20 13:15:00,MISSING PERSON,FOUND PERSON,Saturday,TARAVAL,LOCATED,0 Block of LAGUNITAS DR,-122.473560438502,37.7330634724212
199341,2012-09-20 20:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,TAYLOR ST / SACRAMENTO ST,-122.412653223062,37.7925509103928
378489,2010-01-29 13:46:00,LOITERING,OBSTRUCTING PUBLIC THOROUGHFARE,Friday,RICHMOND,"ARREST, BOOKED",500 Block of JOHNFKENNEDY DR,-122.46620466789301,37.7725405391593
131927,2013-08-10 22:00:00,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,TARAVAL,NONE,3100 Block of VICENTE ST,-122.500613907924,37.7382699515932
756487,2004-08-18 08:45:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,MISSION,NONE,2100 Block of MISSION ST,-122.419561596094,37.7632161069131
487536,2008-06-29 15:20:00,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,MISSION,"ARREST, CITED",13TH ST / SOUTH VAN NESS AV,-122.417756708592,37.7698142360087
825611,2003-09-16 10:50:00,WARRANTS,WARRANT ARREST,Tuesday,CENTRAL,"ARREST, BOOKED",100 Block of JACKSON ST,-122.398919477596,37.796953574467004
853446,2003-04-30 22:00:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,TARAVAL,NONE,500 Block of JOHN MUIR DR,-122.49206801733999,37.714361549875605
455931,2008-12-09 16:23:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,CENTRAL,NONE,0 Block of JANSEN ST,-122.413836041467,37.802258272429704
160381,2013-04-01 17:40:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,CENTRAL,NONE,1400 Block of GRANT AV,-122.40742331221901,37.8001885232329
652440,2006-02-10 00:45:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
858547,2003-04-04 13:15:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,PARK,NONE,900 Block of DIVISADERO ST,-122.43858055616,37.778253835788796
282859,2011-07-02 00:19:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,NORTHERN,"ARREST, CITED",POLK ST / GEARY ST,-122.41973983780501,37.7858926099715
523160,2007-12-27 17:30:00,ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,100 Block of GOLDEN GATE AV,-122.413047972078,37.781911962829795
220369,2012-06-01 22:18:00,WARRANTS,WARRANT ARREST,Friday,CENTRAL,NONE,BROADWAY ST / KEARNY ST,-122.40547592923099,37.7980180687744
340980,2010-08-25 10:10:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,INGLESIDE,NONE,4700 Block of MISSION ST,-122.437393972517,37.7214120621391
53455,2014-08-24 21:10:00,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Sunday,BAYVIEW,"ARREST, CITED",1200 Block of REVERE AV,-122.38367977861601,37.7279208527818
489988,2008-06-23 04:10:00,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Monday,SOUTHERN,NONE,1600 Block of HOWARD ST,-122.417217927213,37.7710386516388
18283,2015-02-17 09:04:00,WARRANTS,WARRANT ARREST,Tuesday,TARAVAL,"ARREST, BOOKED",700 Block of IRVING ST,-122.465791800721,37.764114780327
427275,2009-05-03 18:15:00,MISSING PERSON,FOUND PERSON,Sunday,TARAVAL,NONE,0 Block of JULES AV,-122.461163238283,37.7191248815986
163340,2013-03-19 00:01:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,BAYVIEW,"ARREST, BOOKED",0 Block of NORTHRIDGE RD,-122.37551296863501,37.730806609582
315867,2011-01-01 12:00:00,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Saturday,RICHMOND,NONE,800 Block of 35TH AV,-122.494900792341,37.77299908571021
378846,2010-01-28 14:00:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Thursday,TARAVAL,NONE,1700 Block of 27TH AV,-122.485040145714,37.7547814568256
496555,2008-05-15 17:05:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,BAYVIEW,"ARREST, BOOKED",LASALLE AV / NEWHALL ST,-122.390521939554,37.7375439838695
712683,2005-04-07 22:23:00,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT W/ WEAPON,Thursday,INGLESIDE,"ARREST, BOOKED",3700 Block of MISSION ST,-122.424421767504,37.736401002257
787895,2004-03-18 18:00:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,NORTHERN,NONE,0 Block of IVY ST,-122.418951160054,37.7779227182608
264484,2011-10-17 17:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,MISSION,NONE,26TH ST / DOLORES ST,-122.42484499414302,37.748632522171995
579909,2007-02-25 19:38:00,WARRANTS,WARRANT ARREST,Sunday,TENDERLOIN,NONE,TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006
33914,2014-11-28 14:54:00,ROBBERY,"ROBBERY, BODILY FORCE",Friday,NORTHERN,"ARREST, BOOKED",POLK ST / GEARY ST,-122.41973983780501,37.7858926099715
710841,2005-04-19 21:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,PARK,NONE,0 Block of NIDO AV,-122.446139455834,37.7793587013031
829066,2003-08-24 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,400 Block of 36TH AV,-122.496474160026,37.779835101109
267330,2011-09-25 06:56:00,WARRANTS,WARRANT ARREST,Sunday,NORTHERN,"ARREST, BOOKED",TURK ST / GOUGH ST,-122.423918786916,37.781533812781795
82181,2014-04-06 23:15:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,4TH AV / CABRILLO ST,-122.46173261893,37.7754662349337
724565,2005-02-08 12:00:00,ASSAULT,BATTERY,Tuesday,MISSION,"ARREST, CITED",2100 Block of MARKET ST,-122.43001865524201,37.7668305229582
831194,2003-08-19 23:33:00,WARRANTS,WARRANT ARREST,Tuesday,CENTRAL,"ARREST, BOOKED",0 Block of GEARY ST,-122.404271795034,37.7878080003666
63742,2014-07-10 20:15:00,ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.415448759562,37.778293520129
13292,2015-03-07 13:45:00,ASSAULT,BATTERY,Saturday,SOUTHERN,NONE,MARKET ST / JONES ST,-122.411979487494,37.7809039696758
525505,2007-12-12 15:45:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Wednesday,NORTHERN,"ARREST, BOOKED",100 Block of LARKIN ST,-122.41660769511499,37.7791387543353
28916,2014-12-25 07:59:00,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,NORTHERN,NONE,1800 Block of FILLMORE ST,-122.43343589718,37.786553349847296
184908,2012-11-28 16:16:00,MISSING PERSON,FOUND PERSON,Wednesday,RICHMOND,NONE,500 Block of SPRUCE ST,-122.453808032608,37.7849967238141
368363,2010-03-26 18:00:00,DRUG/NARCOTIC,POSSESSION OF OPIATES,Friday,TENDERLOIN,"ARREST, BOOKED",200 Block of MASON ST,-122.409523740653,37.7857602954934
400976,2009-09-20 10:00:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,SOUTHERN,"ARREST, CITED",FOLSOM ST / 4TH ST,-122.401161555602,37.7820238478975
767772,2004-06-23 12:30:00,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,CENTRAL,NONE,300 Block of BATTERY ST,-122.40021603878999,37.7948030325182
415642,2009-07-11 01:45:00,ASSAULT,BATTERY,Saturday,BAYVIEW,NONE,0 Block of GEORGE CT,-122.38260970304701,37.730902509229395
804089,2004-01-05 06:45:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,RICHMOND,NONE,100 Block of 9TH AV,-122.467760977146,37.78558628579721
568778,2007-05-02 12:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
784951,2004-04-01 16:32:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.40669059226101,37.7852071918419
125096,2013-09-16 10:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,RICHMOND,NONE,600 Block of 32ND AV,-122.491956779206,37.7768766735218
800579,2004-01-20 18:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,MISSION,NONE,1300 Block of MINNA ST,-122.41907786565399,37.7675080444155
450110,2009-01-09 15:28:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / JONES ST,-122.412224164736,37.7820729312029
